user,comment
Rupesh c Mishra,"My sweethearts ❤️❤️
Did you all know ? You are going to be best pop dancers in the world"
Rupesh c Mishra,Ohh ! They all are super cute .
Darina Esteban Morales,Las amo tanto mis niñas🥺.
J-Hope's_Sprite_Official,"Starting my day watching them.
The day will be great<3"
Mohamed Abdelsalam,"1:52 
Not Rosé flexing on Lisa with food😂"
Hey Jeong,블랙핑크의 조건없는 집 카카카카 이번화 너무 좋아
SOY BLINK,Türkiye'den mutlu yıllar yıl 2022
gemma pandan,Ilove Jisoo so much more done my life  sana all kinikilig Ako sa Jenlisa
ROSÉ. SOft 부드러운 장미,Ov bu videoyu izleyeli tam 3yil olmuş zaman çok çabuk geçiyor
H. .Hongorzul,Хөөрхөн шүү үргэлж уулзхиг хүсдэг даанч♥😯😒😌😣
Maybelline Huete,The way dalgom bark at lisa is just the cutest thing I ever seen
KATHLEEN J. VLOGS,10:21
Dinne dazo Mondejar,😎😎😎😎😎😎👍👍👍👍👍👍👍🏼👍👍👍👍👍👍🥲🥲👍🥲🥲😬😬😳😭☹️😝😳😏😏🧐🧐🧐🤨🤨🧐🙄🙄🙄🙄🙄😒😳😳😬🥲👍👍👍👍👍😎😎😎👍👍👍😎👍😎😎😤😘😘😘😘😎😘😘😎😘😎😎😎😎😎😘😘😎😘😎😬😬😬😠😠😤😤😤😠😠😠😠😠😠😠😠😠😠😠😢😢😢😢😓😓😑😑😑😑😊😆😊😊😊😊😊
Dinne dazo Mondejar,Sana all jenlisa is real tlga 👍😎😘
Ezezterry,어 묘
ဗ,"So cuteee
So cuteeeeeee💅😣😍😍"
Nurul Huda,"Jisoo so cute and lisa,jennie,róse they so funny and cite^_^"
Leyla Nil Aydoğmuş,Black pinkcome turkey
Nasa Vivovivo,น้องบังแล้วเหรอรำคาญไอ้บอกเหลือเกิน
Phạm Thị Thanh Vân,Hello BLACKPINK
Angel Manda Taboada,Love blakpink
Angel Manda Taboada,🈳🈂️
família da Manu🌸🌺,귀여워요🖤💗
Tabia Tasnim Towa,This episod is so much cute.And jisoo's I ate helium is very sweet.
Mongcam Le,저는 블랙핑크의 열렬한 팬입니다.
Nguyễn Diệp Ngân,🤣🤣🤣
Nguyễn Diệp Ngân,cute cute
Daniela Basualdo,🤗🤗🤗🤗😁😁😊👍😘😅😅😘😅😘😘😘😘😘😘😘⚪👌🎉🎉🎂🌸🌸🌸🌷🌷🌷💮💮💮💮🙊🙊🦄🦄🦄🦄🦄🦄🦄🥰😘😘😘😘😘😘😘😘😘😘😘😘😘😘😝😘😘😘😘😘😘😘😘😘😘😘🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😘😘😆😘😘😘😘😘😘😘😘😘
💚ANNA _LIE 💚,l love
Pham Angelina,Rosé is so cute! I love everything about her
Shapnil Paul,Gjtgjkkkyhkvcdj
Нурай Ырысалы,كما يطلق عليه
쌉구리,연에인인데 일반서람이랑 똑같은 생활하는 것 같음
Eva Neale,gray gay!
margoth guzman,"Que tierna se escucha la voz de jisoo y jennie con el helio .
Las amo blackpink🖤💖"
Edito0o0rr🥺💘,🥺💕🥺love love love love love love love love love love love love loveeeee looooove Rośe😭😭😭
MADARA TV,Lindas principalmente a Jisoo
🖤  정 곤 . JINGKOOK🖤,كيووت
noris lee,i really miss this time ...( ⚈̥̥̥̥̥́⌢⚈̥̥̥̥̥̀) i feel want to cry
lê văn dũng Lê,I love you Rosé anh Lisa anh Jennie anh Jisoo
Turtle Rabbit Kim,"December 14, 2021 watching blackpink house again 💗"
DEVIL333,4:55 best part
Justvaxyt,❤️❤️❤️❤️❤️❤️❤️❤️❤️💕🤣🤣
k q,5:25
maleeha185,jisoo is so cuuute
عشاق الانمي,4:52 😂😂😂
유정사랑나라사랑,Jisoo unnie is pretty❤
Helena Marie Rosado,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
🎀lucky charms🎀,4:59 is no one gonna talk about how cute she is??? Awwww
Mỹ Lớp 5/1,mai mee tang ka 😂
Mai Khôi Đoàn Ngọc,so cute
Hưng Nghiêm Kiều,블핑 언니 노래 너무 귀여워
Sweeta Chakawak,wow rosé is so cute i love you blackpink since the best always stay healthy🥰🇰🇷
Yejisecretaccount,7:30
Amran Amran,Lisa dan rose kamu rumah nya di mana aku pengen ke siTu
Stefania Desyani,ini blacpink buat pohon natal  mereka berarti agama katali bukan islam
Khang Hua Duong,"Jisoo is the oldest sister of BLACKPINK but she is so cute, just like the maknae. I have a crush on her!!"
elçin Ayar,05:00
ราเชน บอชอ,SyeeqiitewjqeyjulgkdlgzchcznzsfhmFajkwuo5wtulstgdj2135i3286426io24yeouetjlsfhkkffhks
rika Barat,당신은 매우 아름답습니다
anie blink,🇨🇴🇨🇴
星星,5:00 jisoo very cute 5:09 Jennie very cute too
Asrul Maulana Beling,Gemes bgt sayang ku
Yaren işte,안녕하세요 안녕하세요 저는 jisoo off jisoo입니다 당신은 너무 귀엽습니다💞🔮🖤😋
koudri fifrdaws,i love you
Nevith Lasal,5:41 JISOO ❤️
Nevith Lasal,Helium JISOO ❤️
Sai Shwenitasree Sreetharan,I am confused….70.3 Million subscribers but 25.7 million views
♡JISOO♡,(✪‿✪) ❤❤😘😘😍😍🇰🇷
Khevna and Sharanya's Fun Spot,Cutieeeeeeeeeeeees awwwww I m watching this episode again from the day u posted
Irazgul Kaya,🤩🤩🤩🤩🤩🤩🤩💗
riri 👑,💗
안녕,로제 잘먹어서 보기 좋다 ㅠㅠㅠ
PIERRE AMARE,Jennie i love you
Cony Ojeda,Is is❤❤💘
Cony Ojeda,Jenlisa is real
Chandraleela Leela,Black pink how should I come to your home I am Hyderabad I am 12 years old my mom dad won't take me am to sad because am in Hyderabad
r_sé  - o -,😔💗💗
Xen Nguyễn thị,지수 눈 왜케 어두워
👑PX XD oyun kraliçesi👑,🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿😍😍😍💜
👑PX XD oyun kraliçesi👑,Azərbaycandan salamlarrr
👑PX XD oyun kraliçesi👑,Yenədə çekinde bunlardannn
Hamidul Islam,I LOVE YOU BLACKPINK 💞💞💕💕💕💕
Megan Marquez,5:00 so cute
Gnani Mobile Care,"4:45
 i can't stop laughing"
Luisa Gonzalez,Amo como el helio les pone la voz JAJAJAAJAJAJ 💗😭
preeran 2017,rose Lisa love ❤️ 12:19
emma g,"1:55 
2:21
5:25"
mark bron,People watch this??
feride,1:04 roseye bakkkkk hahahhaaa
RAKESH TRIPATHI,My mouth is watering while seeing rose eating bread 🍞
